jurisdiction,state,type,priority
Willapa CDP, Washington,Place,No
Wilson Creek town, Washington,Place,No
Winlock city, Washington,Place,Yes
Winthrop town, Washington,Place,Yes
Wishram CDP, Washington,Place,Yes
Wollochet CDP, Washington,Place,Yes
Woodinville city, Washington,Place,Yes
Woodland city, Washington,Place,No
Woods Creek CDP, Washington,Place,Yes
Woodway city, Washington,Place,Yes
Yacolt town, Washington,Place,No
Yakima city, Washington,Place,No
Yarrow Point town, Washington,Place,Yes
Yelm city, Washington,Place,No
Zillah city, Washington,Place,No
Accoville CDP, West Virginia,Place,Yes
Addison (Webster Springs) town, West Virginia,Place,Yes
Albright town, West Virginia,Place,No
Alderson town, West Virginia,Place,No
Alum Creek CDP, West Virginia,Place,Yes
Amherstdale CDP, West Virginia,Place,Yes
Anawalt town, West Virginia,Place,No
Anmoore town, West Virginia,Place,No
Ansted town, West Virginia,Place,No
Apple Grove CDP, West Virginia,Place,No
Arbovale CDP, West Virginia,Place,No
Athens town, West Virginia,Place,Yes
Auburn town, West Virginia,Place,No
Aurora CDP, West Virginia,Place,No
Bancroft town, West Virginia,Place,No
Barboursville village, West Virginia,Place,Yes
Barrackville town, West Virginia,Place,No
Bartley CDP, West Virginia,Place,No
Bartow CDP, West Virginia,Place,No
Bath (Berkeley Springs) town, West Virginia,Place,Yes
Bayard town, West Virginia,Place,No
Beards Fork CDP, West Virginia,Place,No
Beaver CDP, West Virginia,Place,No
Beckley city, West Virginia,Place,No
Beech Bottom village, West Virginia,Place,Yes
Belington town, West Virginia,Place,No
Belle town, West Virginia,Place,No
Belmont city, West Virginia,Place,No
Belva CDP, West Virginia,Place,No
Benwood city, West Virginia,Place,Yes
Bergoo CDP, West Virginia,Place,No
Berwind CDP, West Virginia,Place,No
Bethany town, West Virginia,Place,Yes
Bethlehem village, West Virginia,Place,Yes
Beverly town, West Virginia,Place,Yes
Big Chimney CDP, West Virginia,Place,No
Big Creek CDP, West Virginia,Place,No
Big Sandy CDP, West Virginia,Place,No
Birch River CDP, West Virginia,Place,No
Blacksville town, West Virginia,Place,No
Blennerhassett CDP, West Virginia,Place,No
Bluefield city, West Virginia,Place,No
Bluewell CDP, West Virginia,Place,No
Boaz CDP, West Virginia,Place,Yes
Bolivar town, West Virginia,Place,Yes
Bolt CDP, West Virginia,Place,No
Boomer CDP, West Virginia,Place,No
Bowden CDP, West Virginia,Place,No
Bradley CDP, West Virginia,Place,No
Bradshaw town, West Virginia,Place,No
Bramwell town, West Virginia,Place,No
Brandonville town, West Virginia,Place,Yes
Brandywine CDP, West Virginia,Place,No
Brenton CDP, West Virginia,Place,Yes
Bridgeport city, West Virginia,Place,No
Brookhaven CDP, West Virginia,Place,No
Bruceton Mills town, West Virginia,Place,No
Bruno CDP, West Virginia,Place,No
Brush Fork CDP, West Virginia,Place,No
Buckhannon city, West Virginia,Place,No
Bud CDP, West Virginia,Place,No
Buffalo town, West Virginia,Place,No
Burlington CDP, West Virginia,Place,No
Burnsville town, West Virginia,Place,Yes
Cairo town, West Virginia,Place,No
Camden-on-Gauley town, West Virginia,Place,Yes
Cameron city, West Virginia,Place,No
Capon Bridge town, West Virginia,Place,Yes
Carolina CDP, West Virginia,Place,No
Carpendale town, West Virginia,Place,Yes
Cass CDP, West Virginia,Place,No
Cassville CDP, West Virginia,Place,Yes
Cedar Grove town, West Virginia,Place,Yes
Century CDP, West Virginia,Place,No
Ceredo city, West Virginia,Place,Yes
Chapmanville town, West Virginia,Place,No
Charleston city, West Virginia,Place,No
Charles Town city, West Virginia,Place,Yes
Charlton Heights CDP, West Virginia,Place,No
Chattaroy CDP, West Virginia,Place,Yes
Chauncey CDP, West Virginia,Place,No
Cheat Lake CDP, West Virginia,Place,Yes
Chelyan CDP, West Virginia,Place,No
Chesapeake town, West Virginia,Place,No
Chester city, West Virginia,Place,No
Clarksburg city, West Virginia,Place,No
Clay town, West Virginia,Place,Yes
Clearview village, West Virginia,Place,No
Clendenin town, West Virginia,Place,Yes
Coal City CDP, West Virginia,Place,No
Coal Fork CDP, West Virginia,Place,No
Comfort CDP, West Virginia,Place,No
Corinne CDP, West Virginia,Place,Yes
Covel CDP, West Virginia,Place,No
Cowen town, West Virginia,Place,No
Crab Orchard CDP, West Virginia,Place,No
Craigsville CDP, West Virginia,Place,No
Cross Lanes CDP, West Virginia,Place,Yes
Crum CDP, West Virginia,Place,No
Crumpler CDP, West Virginia,Place,No
Cucumber CDP, West Virginia,Place,Yes
Culloden CDP, West Virginia,Place,Yes
Dailey CDP, West Virginia,Place,No
Daniels CDP, West Virginia,Place,No
Danville town, West Virginia,Place,Yes
Davis town, West Virginia,Place,Yes
Davy town, West Virginia,Place,No
Deep Water CDP, West Virginia,Place,No
Delbarton town, West Virginia,Place,Yes
Despard CDP, West Virginia,Place,No
Dixie CDP, West Virginia,Place,No
Dunbar city, West Virginia,Place,No
Durbin town, West Virginia,Place,Yes
East Bank town, West Virginia,Place,Yes
East Dailey CDP, West Virginia,Place,Yes
Eccles CDP, West Virginia,Place,No
Eleanor town, West Virginia,Place,No
Elizabeth town, West Virginia,Place,No
Elk Garden town, West Virginia,Place,No
Elkins city, West Virginia,Place,No
Elkview CDP, West Virginia,Place,No
Ellenboro town, West Virginia,Place,No
Enterprise CDP, West Virginia,Place,No
Fairlea CDP, West Virginia,Place,No
Fairmont city, West Virginia,Place,No
Fairview town, West Virginia,Place,Yes
Falling Spring town, West Virginia,Place,Yes
Falling Waters CDP, West Virginia,Place,No
Falls View CDP, West Virginia,Place,Yes
Farmington town, West Virginia,Place,Yes
Fayetteville town, West Virginia,Place,Yes
Fenwick CDP, West Virginia,Place,No
Flatwoods town, West Virginia,Place,Yes
Flemington town, West Virginia,Place,No
Follansbee city, West Virginia,Place,No
Fort Ashby CDP, West Virginia,Place,No
Fort Gay town, West Virginia,Place,No
Frank CDP, West Virginia,Place,No
Franklin town, West Virginia,Place,No
Friendly town, West Virginia,Place,No
Gallipolis Ferry CDP, West Virginia,Place,No
Galloway CDP, West Virginia,Place,No
Gary city, West Virginia,Place,No
Gassaway town, West Virginia,Place,Yes
Gauley Bridge town, West Virginia,Place,Yes
Ghent CDP, West Virginia,Place,No
Gilbert town, West Virginia,Place,Yes
Gilbert Creek CDP, West Virginia,Place,No
Glasgow town, West Virginia,Place,No
Glen Dale city, West Virginia,Place,No
Glen Ferris CDP, West Virginia,Place,Yes
Glen Fork CDP, West Virginia,Place,No
Glen Jean CDP, West Virginia,Place,No
Glenville town, West Virginia,Place,No
Glen White CDP, West Virginia,Place,No
Grafton city, West Virginia,Place,No
Grantsville town, West Virginia,Place,No
Grant Town town, West Virginia,Place,No
Granville town, West Virginia,Place,Yes
Great Cacapon CDP, West Virginia,Place,No
Green Bank CDP, West Virginia,Place,No
Green Spring CDP, West Virginia,Place,Yes
Greenview CDP, West Virginia,Place,Yes
Gypsy CDP, West Virginia,Place,No
Hambleton town, West Virginia,Place,No
Hamlin town, West Virginia,Place,Yes
Handley town, West Virginia,Place,Yes
Harman town, West Virginia,Place,Yes
Harpers Ferry town, West Virginia,Place,Yes
Harrisville town, West Virginia,Place,No
Hartford City town, West Virginia,Place,Yes
Harts CDP, West Virginia,Place,No
Hedgesville town, West Virginia,Place,Yes
Helen CDP, West Virginia,Place,No
Helvetia CDP, West Virginia,Place,No
Henderson town, West Virginia,Place,No
Hendricks town, West Virginia,Place,No
Henlawson CDP, West Virginia,Place,No
Hepzibah CDP, West Virginia,Place,No
Hico CDP, West Virginia,Place,Yes
Hillsboro town, West Virginia,Place,Yes
Hilltop CDP, West Virginia,Place,No
Hinton city, West Virginia,Place,Yes
Holden CDP, West Virginia,Place,Yes
Hometown CDP, West Virginia,Place,Yes
Hooverson Heights CDP, West Virginia,Place,No
Hundred town, West Virginia,Place,Yes
Huntersville CDP, West Virginia,Place,No
Huntington city, West Virginia,Place,No
Hurricane city, West Virginia,Place,No
Huttonsville town, West Virginia,Place,Yes
Iaeger town, West Virginia,Place,Yes
Idamay CDP, West Virginia,Place,No
Inwood CDP, West Virginia,Place,Yes
Itmann CDP, West Virginia,Place,No
Jacksonburg CDP, West Virginia,Place,No
Jane Lew town, West Virginia,Place,No
Jefferson CDP, West Virginia,Place,No
Junior town, West Virginia,Place,No
Justice CDP, West Virginia,Place,No
Kenova city, West Virginia,Place,No
Kermit town, West Virginia,Place,No
Keyser city, West Virginia,Place,No
Keystone city, West Virginia,Place,No
Kimball town, West Virginia,Place,No
Kimberly CDP, West Virginia,Place,No
Kincaid CDP, West Virginia,Place,Yes
Kingwood city, West Virginia,Place,Yes
Kistler CDP, West Virginia,Place,Yes
Kopperston CDP, West Virginia,Place,Yes
Lashmeet CDP, West Virginia,Place,No
Lavalette CDP, West Virginia,Place,No
Leon town, West Virginia,Place,Yes
Lesage CDP, West Virginia,Place,No
Lester town, West Virginia,Place,No
Lewisburg city, West Virginia,Place,Yes
Littleton CDP, West Virginia,Place,No
Logan city, West Virginia,Place,No
Lost Creek town, West Virginia,Place,No
Lubeck CDP, West Virginia,Place,Yes
Lumberport town, West Virginia,Place,Yes
Mabscott town, West Virginia,Place,No
MacArthur CDP, West Virginia,Place,Yes
McConnell CDP, West Virginia,Place,No
McMechen city, West Virginia,Place,Yes
Madison city, West Virginia,Place,No
Mallory CDP, West Virginia,Place,No
Man town, West Virginia,Place,Yes
Mannington city, West Virginia,Place,No
Marlinton town, West Virginia,Place,No
Marmet city, West Virginia,Place,Yes
Martinsburg city, West Virginia,Place,Yes
Mason town, West Virginia,Place,No
Masontown town, West Virginia,Place,No
Matewan town, West Virginia,Place,No
Matheny CDP, West Virginia,Place,Yes
Matoaka town, West Virginia,Place,Yes
Maybeury CDP, West Virginia,Place,No
Meadow Bridge town, West Virginia,Place,No
Middlebourne town, West Virginia,Place,No
Middleway CDP, West Virginia,Place,Yes
Mill Creek town, West Virginia,Place,Yes
Milton town, West Virginia,Place,No
Mineralwells CDP, West Virginia,Place,Yes
Mitchell Heights town, West Virginia,Place,Yes
Monaville CDP, West Virginia,Place,No
Monongah town, West Virginia,Place,No
Montcalm CDP, West Virginia,Place,No
Montgomery city, West Virginia,Place,No
Montrose town, West Virginia,Place,Yes
Moorefield town, West Virginia,Place,Yes
Morgantown city, West Virginia,Place,No
Moundsville city, West Virginia,Place,No
Mount Carbon CDP, West Virginia,Place,No
Mount Gay-Shamrock CDP, West Virginia,Place,No
Mount Hope city, West Virginia,Place,No
Mullens city, West Virginia,Place,Yes
Neibert CDP, West Virginia,Place,No
Nettie CDP, West Virginia,Place,No
Newburg town, West Virginia,Place,No
New Cumberland city, West Virginia,Place,No
Newell CDP, West Virginia,Place,No
New Haven town, West Virginia,Place,No
New Martinsville city, West Virginia,Place,Yes
New Richmond CDP, West Virginia,Place,No
Nitro city, West Virginia,Place,No
Northfork town, West Virginia,Place,No
North Hills town, West Virginia,Place,Yes
Nutter Fort town, West Virginia,Place,No
Oak Hill city, West Virginia,Place,Yes
Oakvale town, West Virginia,Place,Yes
Oceana town, West Virginia,Place,No
Omar CDP, West Virginia,Place,No
Paden City city, West Virginia,Place,Yes
Page CDP, West Virginia,Place,No
Pageton CDP, West Virginia,Place,No
Parcoal CDP, West Virginia,Place,No
Parkersburg city, West Virginia,Place,No
Parsons city, West Virginia,Place,No
Paw Paw town, West Virginia,Place,Yes
Pax town, West Virginia,Place,Yes
Pea Ridge CDP, West Virginia,Place,No
Pennsboro city, West Virginia,Place,Yes
Pentress CDP, West Virginia,Place,No
Petersburg city, West Virginia,Place,No
Peterstown town, West Virginia,Place,Yes
Philippi city, West Virginia,Place,Yes
Pickens CDP, West Virginia,Place,No
Piedmont town, West Virginia,Place,Yes
Pinch CDP, West Virginia,Place,No
Pine Grove town, West Virginia,Place,No
Pineville town, West Virginia,Place,No
Piney View CDP, West Virginia,Place,No
Pleasant Valley city, West Virginia,Place,Yes
Poca town, West Virginia,Place,No
Point Pleasant city, West Virginia,Place,Yes
Powellton CDP, West Virginia,Place,Yes
Pratt town, West Virginia,Place,Yes
Prichard CDP, West Virginia,Place,No
Prince CDP, West Virginia,Place,No
Princeton city, West Virginia,Place,Yes
Prosperity CDP, West Virginia,Place,Yes
Pullman town, West Virginia,Place,No
Quinwood town, West Virginia,Place,No
Rachel CDP, West Virginia,Place,Yes
Racine CDP, West Virginia,Place,No
Rainelle town, West Virginia,Place,Yes
Rand CDP, West Virginia,Place,No
Ranson corporation, West Virginia,Place,Yes
Ravenswood city, West Virginia,Place,Yes
Raysal CDP, West Virginia,Place,No
Reader CDP, West Virginia,Place,No
Red Jacket CDP, West Virginia,Place,No
Reedsville town, West Virginia,Place,No
Reedy town, West Virginia,Place,No
Rhodell town, West Virginia,Place,No
Richwood city, West Virginia,Place,No
Ridgeley town, West Virginia,Place,No
Ripley city, West Virginia,Place,No
Rivesville town, West Virginia,Place,Yes
Robinette CDP, West Virginia,Place,No
Roderfield CDP, West Virginia,Place,No
Romney city, West Virginia,Place,No
Ronceverte city, West Virginia,Place,Yes
Rossmore CDP, West Virginia,Place,No
Rowlesburg town, West Virginia,Place,No
Rupert town, West Virginia,Place,Yes
St. Albans city, West Virginia,Place,No
St. George CDP, West Virginia,Place,Yes
St. Marys city, West Virginia,Place,No
Salem city, West Virginia,Place,Yes
Salt Rock CDP, West Virginia,Place,No
Sand Fork town, West Virginia,Place,Yes
Sarah Ann CDP, West Virginia,Place,No
Scarbro CDP, West Virginia,Place,Yes
Shady Spring CDP, West Virginia,Place,Yes
Shannondale CDP, West Virginia,Place,No
Shenandoah Junction CDP, West Virginia,Place,Yes
Shepherdstown town, West Virginia,Place,No
Shinnston city, West Virginia,Place,No
Shrewsbury CDP, West Virginia,Place,No
Sissonville CDP, West Virginia,Place,No
Sistersville city, West Virginia,Place,Yes
Smithers city, West Virginia,Place,Yes
Smithfield town, West Virginia,Place,Yes
Sophia town, West Virginia,Place,No
South Charleston city, West Virginia,Place,No
Spelter CDP, West Virginia,Place,Yes
Spencer city, West Virginia,Place,No
Springfield CDP, West Virginia,Place,No
Stanaford CDP, West Virginia,Place,Yes
Star City town, West Virginia,Place,No
Stollings CDP, West Virginia,Place,No
Stonewood city, West Virginia,Place,No
Summersville city, West Virginia,Place,No
Sutton town, West Virginia,Place,Yes
Switzer CDP, West Virginia,Place,No
Sylvester town, West Virginia,Place,No
Teays Valley CDP, West Virginia,Place,No
Terra Alta town, West Virginia,Place,No
Thomas city, West Virginia,Place,No
Thurmond town, West Virginia,Place,Yes
Tioga CDP, West Virginia,Place,No
Tornado CDP, West Virginia,Place,Yes
Triadelphia town, West Virginia,Place,No
Tunnelton town, West Virginia,Place,No
Twilight CDP, West Virginia,Place,No
Union town, West Virginia,Place,No
Valley Bend CDP, West Virginia,Place,Yes
Valley Grove village, West Virginia,Place,No
Valley Head CDP, West Virginia,Place,No
Van CDP, West Virginia,Place,Yes
Verdunville CDP, West Virginia,Place,No
Vienna city, West Virginia,Place,Yes
Vivian CDP, West Virginia,Place,No
Wallace CDP, West Virginia,Place,No
War city, West Virginia,Place,No
Wardensville town, West Virginia,Place,No
Washington CDP, West Virginia,Place,Yes
Waverly CDP, West Virginia,Place,No
Wayne town, West Virginia,Place,No
Weirton city, West Virginia,Place,Yes
Welch city, West Virginia,Place,Yes
Wellsburg city, West Virginia,Place,No
West Hamlin town, West Virginia,Place,Yes
West Liberty town, West Virginia,Place,No
West Logan town, West Virginia,Place,Yes
West Milford town, West Virginia,Place,No
Weston city, West Virginia,Place,No
Westover city, West Virginia,Place,No
West Union town, West Virginia,Place,No
Wheeling city, West Virginia,Place,No
White Hall town, West Virginia,Place,No
White Sulphur Springs city, West Virginia,Place,Yes
Whitesville town, West Virginia,Place,No
Whitmer CDP, West Virginia,Place,No
Wiley Ford CDP, West Virginia,Place,No
Williamson city, West Virginia,Place,No
Williamstown city, West Virginia,Place,No
Windsor Heights village, West Virginia,Place,No
Winfield town, West Virginia,Place,Yes
Wolf Summit CDP, West Virginia,Place,No
Womelsdorf (Coalton) town, West Virginia,Place,Yes
Worthington town, West Virginia,Place,No
Abbotsford city, Wisconsin,Place,Yes
Abrams CDP, Wisconsin,Place,No
Adams city, Wisconsin,Place,Yes
Adell village, Wisconsin,Place,No
Albany village, Wisconsin,Place,Yes
Algoma city, Wisconsin,Place,No
Allenton CDP, Wisconsin,Place,No
Allouez village, Wisconsin,Place,No
Alma city, Wisconsin,Place,No
Alma Center village, Wisconsin,Place,No
Almena village, Wisconsin,Place,No
Almond village, Wisconsin,Place,No
Altoona city, Wisconsin,Place,No
Amberg CDP, Wisconsin,Place,Yes
Amery city, Wisconsin,Place,No
Amherst village, Wisconsin,Place,No
Amherst Junction village, Wisconsin,Place,Yes
Angelica CDP, Wisconsin,Place,No
Aniwa village, Wisconsin,Place,No
Antigo city, Wisconsin,Place,No
Appleton city, Wisconsin,Place,No
Arcadia city, Wisconsin,Place,Yes
Arena village, Wisconsin,Place,No
Argonne CDP, Wisconsin,Place,No
Argyle village, Wisconsin,Place,No
Arkansaw CDP, Wisconsin,Place,No
Arkdale CDP, Wisconsin,Place,No
Arlington village, Wisconsin,Place,No
Arpin village, Wisconsin,Place,Yes
Ashippun CDP, Wisconsin,Place,No
Ashland city, Wisconsin,Place,No
Ashwaubenon village, Wisconsin,Place,No
Athens village, Wisconsin,Place,No
Auburndale village, Wisconsin,Place,No
Augusta city, Wisconsin,Place,No
Avoca village, Wisconsin,Place,No
Babcock CDP, Wisconsin,Place,No
Bagley village, Wisconsin,Place,Yes
Baileys Harbor CDP, Wisconsin,Place,Yes
Baldwin village, Wisconsin,Place,No
Balsam Lake village, Wisconsin,Place,Yes
Bancroft CDP, Wisconsin,Place,No
Bangor village, Wisconsin,Place,No
Baraboo city, Wisconsin,Place,No
Barneveld village, Wisconsin,Place,No
Barron city, Wisconsin,Place,No
Barronett CDP, Wisconsin,Place,No
Bay City village, Wisconsin,Place,No
Bayfield city, Wisconsin,Place,Yes
Bayside village, Wisconsin,Place,Yes
Bear Creek village, Wisconsin,Place,No
Beaver Dam city, Wisconsin,Place,No
Belgium village, Wisconsin,Place,No
Bell Center village, Wisconsin,Place,No
Belleville village, Wisconsin,Place,No
Bellevue village, Wisconsin,Place,No
Belmont village, Wisconsin,Place,Yes
Beloit city, Wisconsin,Place,No
Benton village, Wisconsin,Place,No
Berlin city, Wisconsin,Place,No
Big Bend village, Wisconsin,Place,No
Big Falls village, Wisconsin,Place,No
Birch Hill CDP, Wisconsin,Place,No
Birchwood village, Wisconsin,Place,Yes
Birnamwood village, Wisconsin,Place,No
Biron village, Wisconsin,Place,No
Black Creek village, Wisconsin,Place,Yes
Black Earth village, Wisconsin,Place,No
Black River Falls city, Wisconsin,Place,No
Blair city, Wisconsin,Place,Yes
Blanchardville village, Wisconsin,Place,Yes
Bloomer city, Wisconsin,Place,No
Bloomfield village, Wisconsin,Place,No
Bloomington village, Wisconsin,Place,Yes
Blue Mounds village, Wisconsin,Place,No
Blue River village, Wisconsin,Place,No
Bluffview CDP, Wisconsin,Place,Yes
Boaz village, Wisconsin,Place,No
Bohners Lake CDP, Wisconsin,Place,No
Bonduel village, Wisconsin,Place,No
Boscobel city, Wisconsin,Place,No
Boulder Junction CDP, Wisconsin,Place,Yes
Bowler village, Wisconsin,Place,Yes
Boyceville village, Wisconsin,Place,No
Boyd village, Wisconsin,Place,No
Brandon village, Wisconsin,Place,No
Brice Prairie CDP, Wisconsin,Place,Yes
Brillion city, Wisconsin,Place,Yes
Bristol village, Wisconsin,Place,No
Brodhead city, Wisconsin,Place,No
Brookfield city, Wisconsin,Place,Yes
Brooklyn village, Wisconsin,Place,No
Brown Deer village, Wisconsin,Place,No
Browns Lake CDP, Wisconsin,Place,Yes
Brownsville village, Wisconsin,Place,No
Browntown village, Wisconsin,Place,No
Bruce village, Wisconsin,Place,No
Brule CDP, Wisconsin,Place,No
Buffalo City city, Wisconsin,Place,No
Burlington city, Wisconsin,Place,No
Burnett CDP, Wisconsin,Place,No
Butler village, Wisconsin,Place,No
Butte des Morts CDP, Wisconsin,Place,Yes
Butternut village, Wisconsin,Place,No
Cable CDP, Wisconsin,Place,No
Cadott village, Wisconsin,Place,No
Caledonia village, Wisconsin,Place,No
Cambria village, Wisconsin,Place,No
Cambridge village, Wisconsin,Place,No
Cameron village, Wisconsin,Place,No
Campbellsport village, Wisconsin,Place,No
Camp Douglas village, Wisconsin,Place,Yes
Caroline CDP, Wisconsin,Place,No
Cascade village, Wisconsin,Place,No
Casco village, Wisconsin,Place,Yes
Cashton village, Wisconsin,Place,No
Cassville village, Wisconsin,Place,No
Cataract CDP, Wisconsin,Place,No
Catawba village, Wisconsin,Place,Yes
Cazenovia village, Wisconsin,Place,No
Cecil village, Wisconsin,Place,No
Cedarburg city, Wisconsin,Place,No
Cedar Grove village, Wisconsin,Place,No
Centuria village, Wisconsin,Place,No
Chain O' Lakes CDP, Wisconsin,Place,No
Chaseburg village, Wisconsin,Place,Yes
Chelsea CDP, Wisconsin,Place,No
Chenequa village, Wisconsin,Place,Yes
Chetek city, Wisconsin,Place,No
Chief Lake CDP, Wisconsin,Place,No
Chili CDP, Wisconsin,Place,No
Chilton city, Wisconsin,Place,No
Chippewa Falls city, Wisconsin,Place,No
Clam Lake CDP, Wisconsin,Place,Yes
Clayton village, Wisconsin,Place,No
Clear Lake village, Wisconsin,Place,Yes
Cleveland village, Wisconsin,Place,Yes
Clinton village, Wisconsin,Place,Yes
Clintonville city, Wisconsin,Place,No
Clyman village, Wisconsin,Place,No
Cobb village, Wisconsin,Place,No
Cochrane village, Wisconsin,Place,No
Colby city, Wisconsin,Place,Yes
Coleman village, Wisconsin,Place,No
Colfax village, Wisconsin,Place,No
Collins CDP, Wisconsin,Place,No
Coloma village, Wisconsin,Place,No
Columbus city, Wisconsin,Place,No
Combined Locks village, Wisconsin,Place,No
Como CDP, Wisconsin,Place,Yes
Conrath village, Wisconsin,Place,No
Coon Valley village, Wisconsin,Place,No
Cornell city, Wisconsin,Place,No
Cornucopia CDP, Wisconsin,Place,No
Cottage Grove village, Wisconsin,Place,No
Couderay village, Wisconsin,Place,No
Crandon city, Wisconsin,Place,No
Crivitz village, Wisconsin,Place,Yes
Cross Plains village, Wisconsin,Place,No
Cuba City city, Wisconsin,Place,No
Cudahy city, Wisconsin,Place,No
Cumberland city, Wisconsin,Place,No
Curtiss village, Wisconsin,Place,Yes
Dale CDP, Wisconsin,Place,No
Dallas village, Wisconsin,Place,No
Dalton CDP, Wisconsin,Place,No
Danbury CDP, Wisconsin,Place,No
Dane village, Wisconsin,Place,No
Darien village, Wisconsin,Place,Yes
Darlington city, Wisconsin,Place,No
Deerfield village, Wisconsin,Place,No
Deer Park village, Wisconsin,Place,No
DeForest village, Wisconsin,Place,No
Delafield city, Wisconsin,Place,Yes
Delavan city, Wisconsin,Place,No
Delavan Lake CDP, Wisconsin,Place,No
Dellwood CDP, Wisconsin,Place,No
Denmark village, Wisconsin,Place,Yes
De Pere city, Wisconsin,Place,No
De Soto village, Wisconsin,Place,No
Diamond Bluff CDP, Wisconsin,Place,No
Diaperville CDP, Wisconsin,Place,No
Dickeyville village, Wisconsin,Place,No
Dodge CDP, Wisconsin,Place,No
Dodgeville city, Wisconsin,Place,Yes
Dorchester village, Wisconsin,Place,No
Dousman village, Wisconsin,Place,Yes
Downing village, Wisconsin,Place,No
Downsville CDP, Wisconsin,Place,No
Doylestown village, Wisconsin,Place,No
Dresser village, Wisconsin,Place,No
Drummond CDP, Wisconsin,Place,No
Dunbar CDP, Wisconsin,Place,No
Durand city, Wisconsin,Place,No
Dyckesville CDP, Wisconsin,Place,No
Eagle village, Wisconsin,Place,No
Eagle Lake CDP, Wisconsin,Place,Yes
Eagle River city, Wisconsin,Place,No
Eastman village, Wisconsin,Place,Yes
East Troy village, Wisconsin,Place,No
Eau Claire city, Wisconsin,Place,No
Eden village, Wisconsin,Place,No
Edgar village, Wisconsin,Place,No
Edgerton city, Wisconsin,Place,Yes
Edmund CDP, Wisconsin,Place,No
Egg Harbor village, Wisconsin,Place,No
Eland village, Wisconsin,Place,Yes
Elcho CDP, Wisconsin,Place,No
Elderon village, Wisconsin,Place,Yes
Eleva village, Wisconsin,Place,No
Elkhart Lake village, Wisconsin,Place,No
Elkhorn city, Wisconsin,Place,No
Elk Mound village, Wisconsin,Place,Yes
Ellison Bay CDP, Wisconsin,Place,Yes
Ellsworth village, Wisconsin,Place,No
Elm Grove village, Wisconsin,Place,Yes
Elmwood village, Wisconsin,Place,No
Elmwood Park village, Wisconsin,Place,No
Elroy city, Wisconsin,Place,Yes
Embarrass village, Wisconsin,Place,No
Emerald CDP, Wisconsin,Place,No
Endeavor village, Wisconsin,Place,No
Ephraim village, Wisconsin,Place,Yes
Ettrick village, Wisconsin,Place,Yes
Eureka CDP, Wisconsin,Place,No
Evansville city, Wisconsin,Place,No
Exeland village, Wisconsin,Place,No
Fairchild village, Wisconsin,Place,No
Fairwater village, Wisconsin,Place,No
Fall Creek village, Wisconsin,Place,No
Fall River village, Wisconsin,Place,Yes
Fennimore city, Wisconsin,Place,Yes
Fenwood village, Wisconsin,Place,No
Ferryville village, Wisconsin,Place,No
Fitchburg city, Wisconsin,Place,No
Florence CDP, Wisconsin,Place,No
Fond du Lac city, Wisconsin,Place,No
Fontana-on-Geneva Lake village, Wisconsin,Place,Yes
Footville village, Wisconsin,Place,Yes
Forest Junction CDP, Wisconsin,Place,No
Forestville village, Wisconsin,Place,No
Fort Atkinson city, Wisconsin,Place,No
Fountain City city, Wisconsin,Place,Yes
Fox Crossing village, Wisconsin,Place,No
Fox Lake city, Wisconsin,Place,Yes
Fox Point village, Wisconsin,Place,Yes
Francis Creek village, Wisconsin,Place,No
Franklin city, Wisconsin,Place,No
Franks Field CDP, Wisconsin,Place,No
Frederic village, Wisconsin,Place,No
Fredonia village, Wisconsin,Place,No
Fremont village, Wisconsin,Place,Yes
French Island CDP, Wisconsin,Place,No
Friendship village, Wisconsin,Place,No
Friesland village, Wisconsin,Place,No
Galesville city, Wisconsin,Place,No
Gays Mills village, Wisconsin,Place,No
Genoa village, Wisconsin,Place,No
Genoa City village, Wisconsin,Place,No
Germantown village, Wisconsin,Place,No
Gibbsville CDP, Wisconsin,Place,No
Gillett city, Wisconsin,Place,No
Gilman village, Wisconsin,Place,Yes
Gilmanton CDP, Wisconsin,Place,No
Glenbeulah village, Wisconsin,Place,No
Glendale city, Wisconsin,Place,No
Glen Flora village, Wisconsin,Place,No
Glen Haven CDP, Wisconsin,Place,No
Glenwood City city, Wisconsin,Place,Yes
Glidden CDP, Wisconsin,Place,No
Goodman CDP, Wisconsin,Place,No
Gordon CDP, Wisconsin,Place,No
Gotham CDP, Wisconsin,Place,No
Grafton village, Wisconsin,Place,No
Grand Marsh CDP, Wisconsin,Place,No
Grand View CDP, Wisconsin,Place,No
Granton village, Wisconsin,Place,No
Grantsburg village, Wisconsin,Place,No
Gratiot village, Wisconsin,Place,Yes
Green Bay city, Wisconsin,Place,No
Greenbush CDP, Wisconsin,Place,Yes
Greendale village, Wisconsin,Place,No
Greenfield city, Wisconsin,Place,No
Green Lake city, Wisconsin,Place,No
Greenleaf CDP, Wisconsin,Place,No
Green Valley CDP, Wisconsin,Place,No
Greenwood city, Wisconsin,Place,Yes
Gresham village, Wisconsin,Place,No
Hager City CDP, Wisconsin,Place,No
Hales Corners village, Wisconsin,Place,No
Hammond village, Wisconsin,Place,No
Hancock village, Wisconsin,Place,No
Hanover CDP, Wisconsin,Place,No
Harrison village, Wisconsin,Place,No
Hartford city, Wisconsin,Place,No
Hartland village, Wisconsin,Place,Yes
Hatfield CDP, Wisconsin,Place,No
Hatley village, Wisconsin,Place,Yes
Haugen village, Wisconsin,Place,No
Hawkins village, Wisconsin,Place,No
